date,infect.med,confirmed,confirmed.7d,ratio,ratio.7d
2020-09-01,811,53,37.857142857142854,15.30188679245283,21.422641509433966
2020-09-02,832.5,52,40.142857142857146,16.009615384615383,20.738434163701065
2020-09-03,860,36,39.714285714285715,23.88888888888889,21.654676258992804
2020-09-04,916.5,45,41.42857142857143,20.366666666666667,22.122413793103448
2020-09-05,938.5,40,44.285714285714285,23.4625,21.191935483870967
2020-09-06,985.5,36,44.42857142857143,27.375,22.181672025723472
2020-09-07,1065,17,39.857142857142854,62.64705882352941,26.720430107526884
2020-09-08,1126,114,48.57142857142857,9.87719298245614,23.18235294117647
2020-09-09,1194,43,47.285714285714285,27.767441860465116,25.250755287009063
2020-09-10,1255.5,167,66,7.517964071856287,19.022727272727273
2020-09-11,1342,93,72.85714285714286,14.43010752688172,18.419607843137253
2020-09-12,1442,75,77.85714285714286,19.226666666666667,18.52110091743119
2020-09-13,1552.5,47,79.42857142857143,33.03191489361702,19.545863309352516
2020-09-14,1648,60,85.57142857142857,27.466666666666665,19.258764607679467
2020-09-15,1754,123,86.85714285714286,14.260162601626016,20.19407894736842
2020-09-16,1902,104,95.57142857142857,18.28846153846154,19.90134529147982
2020-09-17,2041,137,91.28571428571429,14.897810218978103,22.358372456964005
2020-09-18,2157,155,100.14285714285714,13.916129032258064,21.539229671897292
2020-09-19,2286,95,103,24.063157894736843,22.194174757281555
2020-09-20,2454.5,69,106.14285714285714,35.572463768115945,23.12449528936743
2020-09-21,2646.5,101,112,26.202970297029704,23.629464285714285
2020-09-22,2825,136,113.85714285714286,20.772058823529413,24.811794228356334
2020-09-23,3036.5,63,108,48.198412698412696,28.11574074074074
2020-09-24,3271.5,193,116,16.95077720207254,28.20258620689655
2020-09-25,3440,184,120.14285714285714,18.695652173913043,28.632580261593343
2020-09-26,3672.5,172,131.14285714285714,21.351744186046513,28.003812636165577
2020-09-27,3878.5,25,124.85714285714286,155.14,31.063501144164757
2020-09-28,4084.5,99,124.57142857142857,41.25757575757576,32.78841743119266
2020-09-29,4304,297,147.57142857142858,14.491582491582491,29.16553727008712
2020-09-30,4556.5,215,169.28571428571428,21.193023255813955,26.916033755274263
2020-10-01,4805,104,156.57142857142858,46.20192307692308,30.688868613138684
2020-10-02,5110.5,228,162.85714285714286,22.414473684210527,31.380263157894735
2020-10-03,5418,168,162.28571428571428,32.25,33.385563380281695
2020-10-04,5927,75,169.42857142857142,79.02666666666667,34.9822934232715
2020-10-05,6401,190,182.42857142857142,33.689473684210526,35.087705559906034
2020-10-06,6968.5,357,191,19.519607843137255,36.48429319371728
2020-10-07,7553,388,215.71428571428572,19.466494845360824,35.01390728476821
2020-10-08,8296,363,252.71428571428572,22.853994490358126,32.82758620689655
2020-10-09,9155.5,380,274.42857142857144,24.09342105263158,33.3620510150963
2020-10-10,9995.5,411,309.14285714285717,24.319951338199512,32.332948243992604
2020-10-11,11144,169,322.57142857142856,65.94082840236686,34.54738706820195
2020-10-12,12600,399,352.42857142857144,31.57894736842105,35.75192541548439
2020-10-13,14241.5,707,402.42857142857144,20.143564356435643,35.388888888888886
2020-10-14,16071,748,453.85714285714283,21.485294117647058,35.40982058545798
2020-10-15,18162,836,521.4285714285714,21.72488038277512,34.83123287671233
2020-10-16,20387.5,898,595.4285714285714,22.703229398663698,34.24004318618042
2020-10-17,22076,727,640.5714285714286,30.36588720770289,34.462979482604815
2020-10-18,23942.5,537,693.1428571428571,44.58566108007449,34.54194146743611
2020-10-19,25779.5,801,750.5714285714286,32.18414481897628,34.346497906357065
2020-10-20,27547,1505,864.5714285714286,18.303654485049833,31.86202908129544
2020-10-21,29484,1670,996.2857142857143,17.655089820359283,29.593920275308285
2020-10-22,30833,1661,1114.142857142857,18.56291390728477,27.674188998589564
2020-10-23,31876.5,1969,1267.142857142857,16.189182326053835,25.15620067643743
2020-10-24,33073,1702,1406.4285714285713,19.431844888366626,23.515591670898935
2020-10-25,34043,1118,1489.4285714285713,30.44991055456172,22.85641665068099
2020-10-26,34994,1502,1589.5714285714287,23.2982689747004,22.014738923339625
2020-10-27,34838,2611,1747.5714285714287,13.34278054385293,19.935093599280634
2020-10-28,34427,2492,1865,13.815008025682182,18.459517426273457
2020-10-29,33341.5,1800,1884.857142857143,18.523055555555555,17.68913900257693
2020-10-30,31817,1798,1860.4285714285713,17.695773081201335,17.10197343162098
2020-10-31,30126.5,1347,1809.7142857142858,22.365627319970304,16.647102936532995
2020-11-01,28259,557,1729.5714285714287,50.73429084380611,16.338729660526965
2020-11-02,26411,1177,1683.142857142857,22.439252336448597,15.691478526565948
2020-11-03,24721.5,2031,1600.2857142857142,12.17208271787297,15.448178896625603
2020-11-04,23082.5,1690,1485.7142857142858,13.658284023668639,15.536298076923076
2020-11-05,21653,1565,1452.142857142857,13.835782747603833,14.91106738809641
2020-11-06,19921.5,1612,1425.5714285714287,12.358250620347395,13.974396232087383
2020-11-07,18237.5,890,1360.2857142857142,20.491573033707866,13.407109850871667
2020-11-08,16869,466,1347.2857142857142,36.19957081545064,12.520729509065847
2020-11-09,15497.5,1086,1334.2857142857142,14.270257826887661,11.61482869379015
2020-11-10,14168.5,2220,1361.2857142857142,6.382207207207207,10.408175044600693
2020-11-11,12927,1926,1395,6.711838006230529,9.266666666666667
2020-11-12,11925,1509,1387,7.90258449304175,8.597692862292718
2020-11-13,11034.5,1732,1404.142857142857,6.370958429561201,7.85853087801404
2020-11-14,10210,920,1408.4285714285713,11.097826086956522,7.249213916218684
2020-11-15,9467.5,502,1413.5714285714287,18.859561752988046,6.697574532592218
2020-11-16,8792.5,NA,NA,NA,NA
2020-11-17,8005,NA,NA,NA,NA
2020-11-18,7427.5,NA,NA,NA,NA
2020-11-19,6857.5,NA,NA,NA,NA
2020-11-20,6390,NA,NA,NA,NA
2020-11-21,5986.5,NA,NA,NA,NA
2020-11-22,5559,NA,NA,NA,NA
2020-11-23,5077.5,NA,NA,NA,NA
2020-11-24,4755.5,NA,NA,NA,NA
2020-11-25,4435.5,NA,NA,NA,NA
2020-11-26,4141.5,NA,NA,NA,NA
2020-11-27,3854,NA,NA,NA,NA
2020-11-28,3578.5,NA,NA,NA,NA
2020-11-29,3357.5,NA,NA,NA,NA
2020-11-30,3124.5,NA,NA,NA,NA
2020-12-01,2897.5,NA,NA,NA,NA
2020-12-02,2690,NA,NA,NA,NA
2020-12-03,2499.5,NA,NA,NA,NA
2020-12-04,2319,NA,NA,NA,NA
2020-12-05,2141.5,NA,NA,NA,NA
2020-12-06,1967.5,NA,NA,NA,NA
2020-12-07,1822,NA,NA,NA,NA
2020-12-08,1687,NA,NA,NA,NA
2020-12-09,1576,NA,NA,NA,NA
2020-12-10,1451.5,NA,NA,NA,NA
2020-12-11,1339.5,NA,NA,NA,NA
2020-12-12,1239.5,NA,NA,NA,NA
2020-12-13,1142,NA,NA,NA,NA
2020-12-14,1048,NA,NA,NA,NA
2020-12-15,957,NA,NA,NA,NA
2020-12-16,870,NA,NA,NA,NA
2020-12-17,811,NA,NA,NA,NA
2020-12-18,744.5,NA,NA,NA,NA
2020-12-19,681.5,NA,NA,NA,NA
2020-12-20,629,NA,NA,NA,NA
2020-12-21,579.5,NA,NA,NA,NA
2020-12-22,535,NA,NA,NA,NA
2020-12-23,486.5,NA,NA,NA,NA
2020-12-24,441,NA,NA,NA,NA
2020-12-25,418,NA,NA,NA,NA
2020-12-26,381,NA,NA,NA,NA
2020-12-27,356.5,NA,NA,NA,NA
